# This is a list of Dutch ministery governmental websites.
# Source for this file is https://github.com/openstate/datasets/blob/master/government_domain_names/Rijksoverheid.csv
# ar = Algemene Rekenkamer
# az = Algemene Zaken
# buza = Buitenlandse Zaken
# bzk = Binnenlandse Zaken en Koninkrijksrelaties
# caop = Centrum voor Arbeidsverhoudingen Overheidspersoneel
# def = Defensie
# ek = 
# ezk = Economische Zaken en Klimaat
# fin = Financiën
# ienw = Infrastructuur en Waterstaat
# jenv = Justitie en Veiligheid
# lnv = Landbouw, Natuur en Voedselkwaliteit
# no
# ocw = Onderwijs, Cultuur en Wetenschap
# rvs = Raad voor Volksgezondheid en Samenleving
# szw = Sociale Zaken en Werkgelegenheid
# tk
# vws = Volksgezondheid, Welzijn en Sport
rekenkamer.nl,ar
archiefweb.eu,az
beeldkompas.nl,az
campagnetoolkits.nl,az
communicatierijk.nl,az
contenttoolsrijksoverheid.nl,az
ctivd.nl,az
government.nl,az
kabinetsformatie2017.nl,az
kabinetvandekoning.nl,az
koenigshaus.nl,az
koninklijkhuis.nl,az
maison-royale.nl,az
mediatheekrijksoverheid.nl,az
platformrijksoverheiddemo.nl,az
rijkshuisstijl.nl,az
rijksoverheid.nl,az
royal-house.nl,az
staatsieportretten-bestellen.nl,az
tib-ivd.nl,az
wrr.nl,az
academieinternationalebetrekkingen.nl,buza
academyinternationalrelations.nl,buza
adviescommissievolkenrecht.nl,buza
adviesraadinternationalevraagstukken.nl,buza
advisorycommitteeinternationallaw.nl,buza
advisorycouncilinternationalaffairs.nl,buza
ambassadeursconferentie.nl,buza
belandadananda.nl,buza
bijzonderebijstandbuitenland.nl,buza
bzconferencing.nl,buza
cas2021.com,buza
cas2021.nl,buza
centruminternationaalrecht.nl,buza
checkjebrexit.nl,buza
drugssmokkel.nl,buza
dutchcultureusa.com,buza
dutchdubai.com,buza
dutchperformingarts.com,buza
dutchsocialmediaguide.nl,buza
eu2004.nl,buza
ges2019.org,buza
grondweteu.nl,buza
holanda.es,buza
holandaevoce.nl,buza
holandanomundo.nl,buza
holandawaanta.nl,buza
hollandavesen.nl,buza
iob-evaluatie.nl,buza
missionsustainable.nl,buza
nederlandenu.nl,buza
nederlandwereldwijd.nl,buza
netherlandsandyou.nl,buza
netherlandsworldwide.nl,buza
niderlandy-i-vy.nl,buza
niederlandeweltweit.nl,buza
niyuhelan.nl,buza
nlbranding.nl,buza
nlconsulate.com,buza
nlexporteert.nl,buza
nlintheusa.com,buza
nlontwikkelingssamenwerking.nl,buza
oecdguidelines.nl,buza
oesorichtlijnen.nl,buza
ontdeknederland.nl,buza
orandatowatashi.nl,buza
osresultaten.nl,buza
paisesbajosmundial.nl,buza
paisesbajosytu.nl,buza
paysbasetvous.nl,buza
paysbasmondial.nl,buza
permanentevertegenwoordigingen.nl,buza
permanentrepresentations.nl,buza
rsonac.org,buza
sieunddieniederlande.nl,buza
socialemediagidsbz.nl,buza
sso3w.nl,buza
startmetoesorichtlijnen.nl,buza
thedutchchallenge.nl,buza
vntop.nl,buza
werkenbijdeeu.nl,buza
werkenvoorinternationaleorganisaties.nl,buza
wpfc2020.com,buza
youthatheart.nl,buza
zakendoeninchina.org,buza
aardgasvrijewijken.nl,bzk
abdleerportaal.nl,bzk
adviescollegeicttoetsing.nl,bzk
agendastad.nl,bzk
aivd.nl,bzk
algemenebestuursdienst.nl,bzk
arorijk.nl,bzk
atgb.nl,bzk
basisregistratieondergrond.nl,bzk
bedrijfscommissieoverheid.nl,bzk
bezoekhetrijk.nl,bzk
biedboek.nl,bzk
blockchainpilots.nl,bzk
bonairegov.com,bzk
bronhouderportaal-bro.nl,bzk
bzksocialmedia.nl,bzk
caorijk.nl,bzk
cbpbes.com,bzk
