# A list of websites in Dutch or targeted at Dutch people/organizations.
aanmelder.nl,events
aannemer-nu.nl,cloud
advocaatzoeken.nl/advocatenkantoor,orgs
afas.online,fin
afasonline.com,fin
allestoringen.nl/storing,orgs
app.tetra.nl,orgs
app.zivver.com/l/share,storage
archiefweb.eu,gov
archieven.nl,docs
avgregisterrijksoverheid.nl,gov
banken.nl/bank,orgs
bedrijvenmonitor.info/bedrijf,orgs
bestuurlijkeinformatie.nl,gov
betaalverzoek.rabobank.nl,fin
boekingapp.nl,orgs
bunq.me,fin
ccvshop.nl,cloud
chkmkt.com,forms
cloudvps.com,cloud
colo.transip.net,cloud
c.spotler.com,comm
cylex.nl/bedrijf,orgs
data.openstate.eu,gov
debatgemist.tweedekamer.nl/debatten,gov
diensten.snsbank.nl/online/betaalverzoek,fin
digicollect.nl,fin
docplayer.nl,docs
doneeractie.nl,fin
doneerdoel.nl/actie,fin
drimble.nl/bedrijf,orgs
edu.nl,shortener
email-provider.eu,comm
email-provider.nl,comm
enquetesmaken.com/s,comm
fdocuments.nl,docs
fok.nl,social
freelance.nl,orgs
gathering.tweakers.net,social
geef.nl,fin
geenstijl.nl,social
gemeenteoplossingen.nl,cloud
glassdoor.nl,orgs
homerun.co,orgs
ibabs.eu,gov
ictergezocht.nl,orgs
indeed.nl,orgs
ioresearch.jambo.software,comm
isoregister.nl/zoekresultaten,orgs
jobsonline.nl,orgs
jouwweb.nl,cloud
keurmerk.info/nl/consumenten/webwinkel,orgs
kiyoh.com/reviews,orgs
lijstje.nl,fin
mailplus.nl,comm
marktplaats.nl,fin
medivacature.nl,orgs
meesterbaan.nl,orgs
mensenlinq.nl/overlijdensberichten,social
mijndigimap.nl,fin
mijnio.nl,orgs
mijnsalon.nl,cloud
mijnwebwinkel.nl/winkel,cloud
mijnzorgapp.com,orgs
monsterboard.nl,orgs
narkive.com,social
nationalevacaturebank.nl,orgs
nederlandinbedrijf.nl,orgs
nextdoor.nl,social
nicelocal.co.nl,orgs
nmbrs.nl,fin
notubiz.nl,gov
openkvk.nl,orgs
open.overheid.nl,gov
openarchivaris.nl,gov
oozo.nl/bedrijven,orgs
persberichten.com/bedrijfsprofiel,orgs
petitie24.nl/petitie,social
petities.com,social
plugandpay.nl,fin
praktijkinfo.nl,orgs
prolocation.net,cloud
puc.overheid.nl,gov
raadsinformatie.nl,gov
rechtspraak.nl,other
relay.zorgmail.nl/domainbook.txt,orgs
ruimtelijkeplannen.nl,gov
salonized.com,cloud
schoolbank.nl,social
slideplayer.nl,docs
smartmap.nl,gov 
sowo.kr,shortener
stackstorage.com,storage
stateninformatie.nl/document,gov
steunactie.nl/actie,fin
tenderned.nl,gov
thuisbezorgd.nl/menu,orgs
thuiswinkel.org/leden,orgs
tikkie.me/pay,fin
topdesk.net,cloud
tripolis.com/public,comm
trustoo.nl,orgs
tweakers.net/shopreview,orgs
tweedekamer.nl,gov
twimmer.com,comm
userfiles.mailswitch.nl,docs
uwzorgonline.nl,orgs
vacatures-overheid-online.nl,gov
waarbenjij.nu,social
webshopapp.com,cloud
webshopchecker.nl/shop,orgs
webwinkelkeur.nl/webshop,orgs
wobcovid19.rijksoverheid.nl/publicaties,gov
www.ing.nl/particulier/betaalverzoek,fin
whydonate.nl/fundraising,fin
zoek.officielebekendmakingen.nl,docs
zorgkaartnederland.nl,orgs
zorgpleinnoord.nl,orgs
zorgselect.nl,orgs
